#{"t_start": 1769799961.743017, "env_id": "None"}
r,l,t
695.0,12,401.065634
674.0,15,401.276188
681.0,9,401.409071
595.0,15,401.60498
523.0,11,401.745977
1151.0,33,402.233951
789.0,27,402.643879
879.0,28,403.08942
477.0,13,403.231077
280.0,11,403.364239
726.0,19,403.592394
702.0,14,403.79403
671.0,15,404.016046
866.0,19,404.327335
715.0,20,404.644269
844.0,21,404.965854
1353.0,39,405.759211
695.0,14,405.954492
1585.0,47,406.957407
374.0,8,407.078892
920.0,19,407.387302
915.0,26,407.769003
425.0,7,407.861665
830.0,20,408.168912
635.0,19,408.437753
1095.0,33,408.932579
922.0,19,409.226737
1410.0,41,409.905402
713.0,23,410.281974
1335.0,38,410.890727
1463.0,48,412.157106
683.0,23,412.454966
459.0,12,412.582624
774.0,11,412.758699
724.0,22,413.133229
578.0,16,413.332208
649.0,14,413.557523
1452.0,48,414.648846
379.0,7,414.74026
663.0,12,414.880169
1109.0,23,415.227064
639.0,14,415.422346
564.0,17,415.637314
1348.0,41,416.415081
704.0,17,416.67135
1059.0,31,417.26023
628.0,8,417.379839
714.0,12,417.539257
1034.0,31,418.112517
843.0,17,418.402984
1619.0,44,419.320953
842.0,26,419.721337
1264.0,32,420.246873
649.0,24,420.599502
674.0,18,420.816369
670.0,15,421.013962
973.0,22,421.444252
738.0,15,421.652284
786.0,18,421.881437
773.0,15,422.063336
453.0,12,422.20229
758.0,25,422.593162
405.0,15,422.798435
1051.0,26,423.195996
456.0,9,423.310427
1550.0,46,424.187596
1559.0,42,425.089868
379.0,8,425.184173
1380.0,40,425.91432
744.0,22,426.233415
483.0,13,426.403453
458.0,11,426.535113
1423.0,36,427.009249
565.0,12,427.173481
1469.0,43,428.117877
611.0,12,428.254749
626.0,11,430.431881
725.0,16,430.711485
804.0,14,430.916075
971.0,24,431.272406
564.0,8,431.387641
1153.0,33,432.022534
959.0,29,432.467551
937.0,27,432.845798
617.0,18,433.065703
838.0,15,433.340916
619.0,23,433.679162
345.0,14,433.844107
1384.0,45,434.755837
1496.0,46,435.674823
452.0,14,435.856666
684.0,16,436.085036
848.0,21,436.403956
511.0,17,436.580489
980.0,32,437.092186
717.0,13,437.262796
1136.0,28,437.716548
840.0,24,438.108849
1334.0,40,438.796977
709.0,17,439.041893
1398.0,43,439.961754
1063.0,26,440.58212
806.0,21,440.97973
996.0,26,441.437046
647.0,14,441.632805
387.0,12,441.778746
1299.0,38,442.567343
1109.0,28,443.046004
691.0,20,443.408936
556.0,11,443.589779
487.0,13,443.763154
674.0,11,443.920545
681.0,15,444.135306
879.0,29,444.521127
1601.0,47,445.468944
355.0,11,445.594911
672.0,10,445.718053
726.0,18,446.024246
1272.0,46,447.175799
612.0,13,447.346982
796.0,27,447.811391
1444.0,46,448.73102
565.0,12,448.85944
525.0,15,449.023038
1330.0,33,449.599061
758.0,13,449.802365
506.0,12,449.997335
782.0,14,450.213864
866.0,22,450.588707
1419.0,43,451.500823
1082.0,28,451.967263
825.0,29,452.464111
1421.0,41,453.417395
1014.0,23,453.858623
734.0,15,454.114431
1257.0,34,454.703994
965.0,27,455.164643
980.0,22,455.448755
1144.0,27,455.926403
587.0,8,456.025754
561.0,10,456.147034
736.0,23,456.42014
636.0,18,456.619619
1009.0,23,456.996452
799.0,13,457.184996
374.0,7,457.295497
623.0,9,457.466742
727.0,22,457.771488
800.0,13,457.972087
616.0,9,458.1179
626.0,9,458.275981
1064.0,29,458.797462
767.0,19,459.007151
873.0,18,459.324056
641.0,20,459.590824
561.0,11,459.728225
422.0,13,459.928891
661.0,14,460.145734
661.0,12,460.278647
559.0,10,460.393909
541.0,15,460.589127
526.0,8,460.701595
1147.0,32,461.214917
623.0,11,461.403969
400.0,15,461.599154
1048.0,28,462.057163
1256.0,33,462.526041
534.0,16,462.723788
487.0,13,462.859015
1030.0,26,463.262889
1282.0,41,464.052428
776.0,13,464.236356
976.0,25,466.648479
968.0,27,467.04993
374.0,14,467.202192
776.0,22,467.510604
434.0,9,467.646735
648.0,11,467.800261
